id,event_id,name,category,rank,format,default_round_format,participants,submissions_allowed,removed_wca,has_memo,hidden,description,important_info,rule,created_at,updated_at
1,333,3x3x3 Cube,wca,10,time,a,1,FALSE,FALSE,FALSE,FALSE,,,,2023-08-04T08:03:08.061Z,2023-09-28T14:33:36.818Z
2,222,2x2x2 Cube,wca,20,time,a,1,FALSE,FALSE,FALSE,FALSE,,,,2023-08-04T08:03:08.062Z,2023-09-28T14:33:36.868Z
3,444,4x4x4 Cube,wca,30,time,a,1,FALSE,FALSE,FALSE,FALSE,,,,2023-08-04T08:03:08.062Z,2023-09-28T14:33:36.878Z
4,555,5x5x5 Cube,wca,40,time,a,1,FALSE,FALSE,FALSE,FALSE,,,,2023-08-04T08:03:08.062Z,2023-09-28T14:33:36.887Z
5,666,6x6x6 Cube,wca,50,time,m,1,FALSE,FALSE,FALSE,FALSE,,,,2023-08-04T08:03:08.062Z,2023-09-28T14:33:36.894Z
6,777,7x7x7 Cube,wca,60,time,m,1,FALSE,FALSE,FALSE,FALSE,,,,2023-08-04T08:03:08.062Z,2023-09-28T14:33:36.904Z
7,333bf,3x3x3 Blindfolded,wca,70,time,5,1,FALSE,FALSE,TRUE,FALSE,,,,2023-08-04T08:03:08.062Z,2023-09-28T14:33:36.912Z
8,333fm,3x3x3 Fewest Moves,wca,80,number,m,1,FALSE,FALSE,FALSE,FALSE,,,,2023-08-04T08:03:08.062Z,2023-09-28T14:33:36.919Z
9,333oh,3x3x3 One-Handed,wca,90,time,a,1,FALSE,FALSE,FALSE,FALSE,,,,2023-08-04T08:03:08.062Z,2023-09-28T14:33:36.929Z
10,clock,Clock,wca,110,time,a,1,FALSE,FALSE,FALSE,FALSE,,,,2023-08-04T08:03:08.062Z,2023-09-28T14:33:36.941Z
11,minx,Megaminx,wca,120,time,a,1,FALSE,FALSE,FALSE,FALSE,,,,2023-08-04T08:03:08.063Z,2023-09-28T14:33:36.947Z
12,pyram,Pyraminx,wca,130,time,a,1,FALSE,FALSE,FALSE,FALSE,,,,2023-08-04T08:03:08.063Z,2023-09-28T14:33:36.954Z
13,skewb,Skewb,wca,140,time,a,1,FALSE,FALSE,FALSE,FALSE,,,,2023-08-04T08:03:08.063Z,2023-09-28T14:33:36.961Z
14,sq1,Square-1,wca,150,time,a,1,FALSE,FALSE,FALSE,FALSE,,,,2023-08-04T08:03:08.063Z,2023-09-28T14:33:36.968Z
15,fto,Face-Turning Octahedron,unofficial,1010,time,a,1,FALSE,FALSE,FALSE,FALSE,,,"- Scrambling notation: the puzzle is oriented with one vertex facing directly in the front, such that four of the faces are directly above, below, to the left, and to the right of the front-facing vertex. These make up the U, F, L, and R faces, respectively. For the four faces on the back, B is adjacent to U, BL is adjacent to L, BR is adjacent to R, and D is adjacent to F.
  - Scrambling orientation (see [Regulation 4d of the WCA Regulations](https://www.worldcubeassociation.org/regulations/#4d)): scrambled starting with white (if not possible, then the lightest color) as the U face and green (if not possible, then the darkest possible color) as the F face.
- The scramble must be applied correctly. If the puzzle state is wrong, the scrambler must correct it (e.g. by solving the puzzle and applying the scramble sequence again).
- Misalignment penalty (see [Regulation 10f of the WCA Regulations](https://www.worldcubeassociation.org/regulations/#article-10-solved-state)): at most 60 degrees.",2023-08-04T08:03:08.063Z,2024-07-21T22:02:31.186Z
16,444bf,4x4x4 Blindfolded,wca,160,time,3,1,TRUE,FALSE,TRUE,FALSE,,,,2023-08-04T08:03:08.063Z,2023-09-28T14:33:36.976Z
17,555bf,5x5x5 Blindfolded,wca,170,time,3,1,TRUE,FALSE,TRUE,FALSE,,,,2023-08-04T08:03:08.063Z,2023-09-28T14:33:36.979Z
18,333mbf,3x3x3 Multi-Blind,wca,180,multi,1,1,TRUE,FALSE,TRUE,FALSE,,,,2023-08-04T08:03:08.063Z,2023-09-28T14:33:36.984Z
19,333_team_bld,3x3x3 Team-Blind,unofficial,1020,time,a,2,FALSE,FALSE,FALSE,FALSE,"Solve a 3x3x3 as a team with a solver who is blindfolded, and a caller who is not allowed to touch the cube or the solver's arms below the elbow. There is no inspection time.",Sight blockers must be used and there is no inspection time.,"- This is a team event (see above) and a fully blindfolded event (from the perspective of the solver) that involves a caller telling a blindfolded solver how to solve a 3x3x3 puzzle.
- There is no inspection time.
- The solver removes the cover from the puzzle after starting the timer.
- The sight blocker should be held in a way that allows the caller to see the puzzle.
  - This may be coordinated with the judge. For example, the judge can stand across the table from the solver and hold the sight blocker from above. Alternatively, the judge can stand on one side of the solver (left or right) and try to hold the sight blocker in a less obstructive way, while the caller stands on the other side.
  - As in [Regulation B4c3](https://www.worldcubeassociation.org/regulations/#B4c3), a suitable object may be used as a sight blocker instead of being held by the judge.
- The competitors may switch roles between attempts.",2023-08-04T08:03:08.063Z,2026-03-04T12:24:19.677Z
20,333_team_factory,3x3x3 Team Factory,miscellaneous,3010,time,a,2,FALSE,FALSE,FALSE,FALSE,"As a team of two, solve a 3x3x3 one step at a time using CFOP or Roux. CFOP steps: cross, 1st, 2nd, 3rd, 4th pair, OLL, PLL. Roux steps: 2x2x1, 1st block, 2nd 2x2x1, 2nd block, CMLL, EOLR, 4C.",,,2023-08-04T08:03:08.063Z,2025-06-27T06:49:49.260Z
21,333ft,3x3x3 With Feet,unofficial,1300,time,a,1,FALSE,TRUE,FALSE,FALSE,,,- The [WCA Regulations for 3x3x3 With Feet](https://www.worldcubeassociation.org/regulations/history/official/2019-05-01/#article-D-feet) from 2019 apply.,2023-08-04T08:03:08.063Z,2024-07-22T07:05:11.725Z
22,magic,Magic,unofficial,1080,time,a,1,FALSE,TRUE,FALSE,FALSE,,,"- The solve consists of going from the unlinked ring pattern to the linked ring pattern, as configured in the original mass-produced puzzle.
- The [WCA Regulations for Magic](https://regulations.worldcubeassociation.org/history/files/regulations2010.html#magicsolving) from 2010 apply.",2023-08-04T08:03:08.063Z,2024-07-21T22:19:55.541Z
23,mmagic,Master Magic,unofficial,1090,time,a,1,FALSE,TRUE,FALSE,FALSE,,,"- The solve consists of going from the linked ring pattern to the unlinked ring pattern, as configured in the original mass-produced puzzle.
- The [WCA Regulations for Magic](https://regulations.worldcubeassociation.org/history/files/regulations2010.html#magicsolving) from 2010 apply.",2023-08-04T08:03:08.063Z,2024-07-21T22:20:49.881Z
24,333_oh_bld_team_relay,3x3x3 + OH + BLD Team Relay,miscellaneous,3940,time,1,3,TRUE,FALSE,FALSE,FALSE,,,,2023-08-23T15:04:10.450Z,2024-12-28T09:34:01.539Z
25,333mbo,3x3x3 Multi-Blind Old Style,extreme-bld,2010,multi,1,1,TRUE,TRUE,TRUE,FALSE,"Same as 3x3x3 Multi-Blind, except there is no time limit",,,2023-08-23T15:04:10.454Z,2023-10-03T06:04:44.421Z
26,333bf_2_person_relay,3x3x3 Blindfolded 2-man Relay,miscellaneous,3902,time,1,2,TRUE,FALSE,FALSE,FALSE,,,,2023-08-23T15:04:10.456Z,2024-12-28T09:33:34.606Z
27,333bf_3_person_relay,3x3x3 Blindfolded 3-man Relay,miscellaneous,3903,time,1,3,TRUE,FALSE,FALSE,FALSE,,,,2023-08-23T15:04:10.458Z,2024-12-28T09:33:41.453Z
